zpid,city,state,homeStatus,streetAddress,zipcode,bedrooms,bathrooms,price,longitude,latitude,homeType,lotSize,zestimate,rentZestimate,dateSoldString,taxAssessedValue,taxAssessedYear,parcelId
47573040,Venice,FL,SOLD,3124 Odessa Rd,34293,2.0,2.0,290000,-82.41272,27.060522,SINGLE_FAMILY,8000.0,315000.0,2342,2022-08-01,208000.0,2023.0,0449110122
77578396,Lexington,KY,OTHER,213 Shannon Ct,40511,3.0,2.0,277500,-84.54811,38.08721,SINGLE_FAMILY,5671.0,277500.0,1795,2019-08-26,160000.0,2020.0,38103380
67024958,Kelso,WA,OTHER,709 S 5th Ave,98626,2.0,1.0,283900,-122.91032,46.139755,SINGLE_FAMILY,5662.0,283900.0,1700,2013-01-18,248450.0,2023.0,22746
220061818,Palmerton,PA,SOLD,682 Mauch Chunk Rd,18071,6.0,3.0,182000,-75.625885,40.799232,MULTI_FAMILY,4356.0,232700.0,2293,2022-03-25,21250.0,2023.0,42A49C42
83039308,Freehold,NJ,OTHER,286 Lilac Ln,07728,2.0,3.0,480000,-74.31542,40.243343,TOWNHOUSE,2787.0,480000.0,3099,2018-08-27,393400.0,2023.0,17000863500001286S08
87001236,Keokuk,IA,OTHER,1219 Fulton St,52632,2.0,1.0,81900,-91.38403,40.40507,SINGLE_FAMILY,6969.0,81900.0,974,2017-10-23,65500.0,2023.0,044521252150030
29336876,Austin,TX,OTHER,1606 Westover Rd,78703,3.0,2.0,1764000,-97.75562,30.29907,SINGLE_FAMILY,7753.0,1764000.0,8037,2017-05-04,2152566.0,2023.0,117989
250445740,Chester Gap,VA,OTHER,127 Hunter Ave,22623,3.0,2.5,354400,-78.14921,38.85217,SINGLE_FAMILY,14461.0,354400.0,2269,2017-11-17,277800.0,2022.0,1C159
44460087,Jacksonville,FL,OTHER,2908 W 8th St,32254,2.0,1.0,90600,-81.71685,30.346317,SINGLE_FAMILY,9268.0,90600.0,1307,2005-08-25,55688.0,2023.0,0486290000
33134677,Lima,OH,OTHER,1659 Springhill Dr,45805,3.0,3.0,254500,-84.15696,40.706547,SINGLE_FAMILY,18513.0,254500.0,2129,2010-07-29,55020.0,2022.0,46100301002000
75153047,Myrtle Point,OR,OTHER,612 Hermann,97458,3.0,2.0,276200,-124.1328,43.062172,SINGLE_FAMILY,4791.0,276200.0,1963,2018-02-21,281670.0,2023.0,29S12W16BA08300
57113877,Sudbury,MA,OTHER,65 Willow Rd,01776,4.0,3.5,940100,-71.44756,42.379665,SINGLE_FAMILY,30927.0,940100.0,4500,2001-09-05,871300.0,2023.0,SUDBH0500546
49258449,Spanaway,WA,RECENTLY_SOLD,21818 42nd Avenue E,98387,5.0,3.0,535000,-122.37244,47.05826,SINGLE_FAMILY,10001.0,553400.0,2895,2023-11-06,468400.0,2023.0,5001141430
494874,Washington,DC,OTHER,1002 Galloway St NE,20011,3.0,2.0,680700,-76.99301,38.95383,SINGLE_FAMILY,5662.0,680700.0,3569,2019-10-02,577050.0,2023.0,37540010
13209536,Lyons,CO,OTHER,303 5th Ave,80540,6.0,4.75,938200,-105.272095,40.221752,SINGLE_FAMILY,14527.0,938200.0,6794,2007-09-17,54904.0,2023.0,120318424006
45254961,Indian River Shores,FL,OTHER,5400 Highway A1a,32963,2.0,2.0,350200,-80.36696,27.68205,CONDO,,350200.0,4999,2014-07-30,247478.0,2022.0,324019000060060000220
121361556,Saint louis,MO,OTHER,3825 Cleveland Ave,63110,4.0,4.0,634100,-90.24436,38.611073,SINGLE_FAMILY,4051.0,634100.0,3984,2019-06-14,80320.0,2023.0,21160002301
69038548,Fountain,CO,OTHER,7262 Bentwater Dr,80817,3.0,2.5,392600,-104.694275,38.709682,SINGLE_FAMILY,5303.0,392600.0,2094,2016-09-26,20230.0,2022.0,5529312005
86525134,Lebanon,PA,OTHER,503 Hemlock Ln,17042,3.0,2.0,432300,-76.42949,40.249935,SINGLE_FAMILY,99316.0,432300.0,2520,2018-10-31,260900.0,2023.0,1223371313367480000
52695124,Tigard,OR,OTHER,8901 SW Pippen Ln,97224,3.0,3.0,619500,-122.76874,45.40869,SINGLE_FAMILY,3920.0,619500.0,3099,2004-06-17,326710.0,2023.0,2S111DA11800
55104859,San Diego,CA,OTHER,2018 Garnet Ave,92109,3.0,3.0,1372000,-117.23307,32.8018,SINGLE_FAMILY,6242.0,1372000.0,5499,2016-04-27,682694.0,2023.0,4165431402
67013600,Longview,WA,FOR_SALE,1 Monterrey Place,98632,3.0,3.0,579900,-122.94319,46.15431,SINGLE_FAMILY,9600.0,562200.0,2829,2001-10-03,399150.0,2023.0,02206339
33106893,Mount Kisco,NY,OTHER,43 E Ridge Ln,10549,3.0,3.0,823700,-73.73359,41.18621,SINGLE_FAMILY,8276.0,823700.0,5617,2018-03-28,81000.0,2023.0,5556008080117
24537822,Clawson,MI,SOLD,116 Essex St,48017,3.0,1.0,205000,-83.12696,42.53474,SINGLE_FAMILY,6098.0,249000.0,1963,2022-07-29,92950.0,2023.0,2034481013
34079747,Columbus,OH,OTHER,6403 Little Deer Ln,43213,3.0,2.0,361100,-82.83259,39.971325,SINGLE_FAMILY,11277.0,361100.0,2342,2020-06-09,100420.0,2023.0,55021196200
53047840,Salem,OR,SOLD,5553 Sugar Plum St SE,97306,3.0,3.0,385000,-123.020164,44.874416,SINGLE_FAMILY,6970.0,441000.0,2331,2022-01-07,213180.0,2023.0,585788
57422415,Avon,MA,OTHER,26 Ballum Rd,02322,3.0,2.0,569100,-71.05174,42.12294,SINGLE_FAMILY,16552.0,569100.0,3300,2004-03-16,418800.0,2023.0,AVONM0C4B003L016
33037406,Harrison,NY,OTHER,16 Shelton St,10528,5.0,2.0,1155000,-73.72255,40.972977,MULTI_FAMILY,8712.0,1155000.0,6854,1999-01-05,11710.0,2023.0,55280003761
34413167,Blue Ash,OH,OTHER,9621 Ash Ct,45242,5.0,2.5,643900,-84.39558,39.23464,SINGLE_FAMILY,17467.0,643900.0,4116,2002-06-14,166317.0,2023.0,6120080061500
78904045,Wichita Falls,TX,OTHER,1421 State Highway 79 N,76305,3.0,2.0,187400,-98.43061,33.906986,SINGLE_FAMILY,210046.0,187400.0,1314,2018-05-22,135757.0,2023.0,156074
13760715,Lakewood,CO,OTHER,1090 Brentwood St,80214,2.0,1.0,482800,-105.08923,39.73459,SINGLE_FAMILY,6534.0,482800.0,1999,2015-09-17,23858.0,2022.0,4902223001
13055637,Denver,CO,OTHER,1955 S Xenia Way,80231,2.0,3.0,431300,-104.88671,39.68105,TOWNHOUSE,1306.0,431300.0,2749,2019-10-17,30862.0,2023.0,197328120002
32116259,Jamaica,NY,OTHER,8660 108th St,11418,,,732900,-73.840096,40.696224,MULTI_FAMILY,2500.0,732900.0,2100,1998-03-04,38340.0,2023.0,092030032
303775987,Denver,NC,OTHER,2561 Saint James Church Rd,28037,3.0,2.0,482600,-81.02269,35.50706,SINGLE_FAMILY,35022.0,482600.0,2149,2019-09-06,477899.0,2023.0,52678
114768034,Loudonville,OH,OTHER,2535 State Route 60,44842,5.0,2.5,338900,-82.244064,40.74053,SINGLE_FAMILY,217843.0,338900.0,2376,2008-02-22,60330.0,2022.0,B050130001206
31379532,Roosevelt,NY,OTHER,16 W Pennywood Ave,11575,4.0,2.0,644800,-73.594025,40.685566,SINGLE_FAMILY,5702.0,644800.0,4929,2020-09-29,329.0,2022.0,55432000031
58626765,Champlin,MN,OTHER,11498 Basswood Ln N,55316,3.0,2.5,543500,-93.41733,45.16292,SINGLE_FAMILY,19602.0,543500.0,2949,2016-09-12,488200.0,2023.0,3612022230068
61806219,Huntington,MA,OTHER,8 Prospect St,01050,5.0,2.0,341700,-72.88149,42.23397,SINGLE_FAMILY,13.0,341700.0,4265,2019-08-21,224200.0,2023.0,HUNTM00H5B0029L0000
76084691,Mountain Home,AR,OTHER,1020 Sycamore Springs Rd,72653,,2.0,262500,-92.29192,36.28984,SINGLE_FAMILY,134164.0,262500.0,929,2005-08-24,26530.0,2022.0,00102356000
